rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
247,frame_0217.jpg,86.8,0.2482,0.2363,0.1667,0.4,5,1,False,False
248,frame_0216.jpg,86.4,0.2477,0.2194,0.1667,0.44,5,1,False,False
249,frame_0198.jpg,79.2,0.2465,0.3169,0.0,0.44,4,0,False,False
250,frame_0123.jpg,49.2,0.245,0.234,0.0,0.64,7,0,False,False
251,frame_0096.jpg,38.4,0.2447,0.3413,0.1667,0.12,7,1,False,False
252,frame_0191.jpg,76.4,0.2396,0.4151,0.0,0.16,9,0,False,False
253,frame_0088.jpg,35.2,0.2314,0.2867,0.0,0.44,6,0,False,False
254,frame_0313.jpg,125.2,0.2009,0.3857,0.0,0.04,3,0,False,False
255,frame_0220.jpg,88.0,0.1846,0.2573,0.0,0.28,6,0,False,False
256,frame_0112.jpg,44.8,0.1692,0.2584,0.0,0.2,5,0,False,False
